title,placeUrl,website,status,subtitle,rating,reviewCount,category,address,phoneNumber,searchQuery,email,phoneFromWebsite
MStudio - Russian Nails & Beauty,https://www.google.com/maps/place/MStudio+-+Russian+Nails+%26+Beauty/data=!4m7!3m6!1s0x89c259df54c02fab:0xbbde4a8e526b1c75!8m2!3d40.7508462!4d-73.9850001!16s%2Fg%2F11mp_nm817!19sChIJqy_AVN9ZwokRdRxrUo5K3rs,https://www.instagram.com/mstudio_nyc/,No data found,,4.7,372,Nail salon,"34 W 37th St, New York, NY 10018, United States",+1 929-507-4060,small nail salon in new york city,,
MINU STUDIOS Nail Art Studio,https://www.google.com/maps/place/MINU+STUDIOS+Nail+Art+Studio/data=!4m7!3m6!1s0x89c259a9cc518275:0x2f0ad273c3644dbc!8m2!3d40.743917!4d-73.9937!16s%2Fg%2F11fl44g5g1!19sChIJdYJRzKlZwokRvE1kw3PSCi8,http://www.minustudios.com/,Data found,,4.7,35,Nail salon,"124 W 24th St #36, New York, NY 10011, United States",+1 646-850-0505,small nail salon in new york city,,(646) 850-0505
"Nails & Spa Salon Midtown, NYC","https://www.google.com/maps/place/Nails+%26+Spa+Salon+Midtown,+NYC/data=!4m7!3m6!1s0x89c259c7b2686727:0xca664bbbcd7b6711!8m2!3d40.762288!4d-73.9768915!16s%2Fg%2F11s5p0r5f1!19sChIJJ2dossdZwokREWd7zbtLZso",,No website found,,4.7,463,Nail salon,"44 W 55th St, New York, NY 10019, United States",+1 646-472-7908,small nail salon in new york city,,
Yukie Natori New York Salon & Spa,https://www.google.com/maps/place/Yukie+Natori+New+York+Salon+%26+Spa/data=!4m7!3m6!1s0x89c258fab2138c73:0xa6a923e326d7f61f!8m2!3d40.7633797!4d-73.9763534!16s%2Fg%2F1tdb9rmq!19sChIJc4wTsvpYwokRH_bXJuMjqaY,https://yukienatori-newyork.com/,Data found,,4.3,220,Spa,"39 W 56th St, New York, NY 10019, United States",+1 646-649-5324,small nail salon in new york city,info@yukiebeauty.com,212.810.6900
Tomoko Nail NYC,https://www.google.com/maps/place/Tomoko+Nail+NYC/data=!4m7!3m6!1s0x89c259ad246efde3:0x1b1552b46fb8985!8m2!3d40.72748!4d-74.0018035!16s%2Fg%2F11j_qnl3ys!19sChIJ4_1uJK1ZwokRhYn7RitVsQE,http://tomokonailnyc.com/,Data found,,5.0,61,Nail salon,"156 Sullivan St, New York, NY 10012, United States",,small nail salon in new york city,tomokonailnyc@gmail.com,
Nailauri,https://www.google.com/maps/place/Nailauri/data=!4m7!3m6!1s0x89c25927ac37aa23:0xfaf97f8e395e5859!8m2!3d40.7488085!4d-73.9872327!16s%2Fg%2F11k3wgjbfh!19sChIJI6o3rCdZwokRWVheOY5_-fo,https://www.instagram.com/_nailauri_/,No data found,,4.9,102,Nail salon,"43 W 33rd St fl 5 ste 507, New York, NY 10001, United States",+1 347-881-2717,small nail salon in new york city,,
NYC LOFT NAILS,https://www.google.com/maps/place/NYC+LOFT+NAILS/data=!4m7!3m6!1s0x89c25909ecc54bcf:0x119c78e3ba30c686!8m2!3d40.7445977!4d-73.9904622!16s%2Fg%2F11rv5jk9yh!19sChIJz0vF7AlZwokRhsYwuuN4nBE,https://instagram.com/nyc.loft.nails?utm_medium=copy_link,No data found,,5.0,24,Nail salon,"37 W 26th St Suite 206, New York, NY 10010, United States",+1 917-971-7779,small nail salon in new york city,,
Summer Nail Studio 57th st,https://www.google.com/maps/place/Summer+Nail+Studio+57th+st/data=!4m7!3m6!1s0x89c25997c7afb05d:0x74bd276d5a9e54d9!8m2!3d40.7610373!4d-73.9699847!16s%2Fg%2F11fflygs7s!19sChIJXbCvx5dZwokR2VSeWm0nvXQ,,No website found,,4.4,93,Nail salon,"116 E 57th St, New York, NY 10022, United States",+1 646-478-7111,small nail salon in new york city,,
Russian Nails NYC,https://www.google.com/maps/place/Russian+Nails+NYC/data=!4m7!3m6!1s0x89c25944de4ef6d9:0x256de3d86d2d21cc!8m2!3d40.751931!4d-73.985382!16s%2Fg%2F11h4qb_d2r!19sChIJ2fZO3kRZwokRzCEtbdjjbSU,http://russiannails.com/,Data found,,4.6,535,Nail salon,"62 W 38th St, New York, NY 10018, United States",+1 917-999-8760,small nail salon in new york city,rn@russiannails.com,(917) 999-8760
No nail Salon,https://www.google.com/maps/place/No+nail+Salon/data=!4m7!3m6!1s0x89c25923697c4141:0x18a2f28eff208832!8m2!3d40.7262118!4d-73.9843659!16s%2Fg%2F11stnn3r81!19sChIJQUF8aSNZwokRMogg_47yohg,http://nonailsalon.com/,Data found,,4.8,135,Nail salon,"120 E 7th St, New York, NY 10009, United States",+1 929-607-8535,small nail salon in new york city,,(929)-607-8535
Artonus Nail Room,https://www.google.com/maps/place/Artonus+Nail+Room/data=!4m7!3m6!1s0x89c2456990e8d0d7:0xf90c09fe6a4e52fa!8m2!3d40.7477815!4d-73.987404!16s%2Fg%2F11t2tfymb0!19sChIJ19DokGlFwokR-lJOav4JDPk,http://artonusnailsroom.com/,Data found,,4.9,194,Nail salon,"38 W 32nd St Suite 1011 (10 floor, New York, NY 10001, United States",+1 347-888-1036,small nail salon in new york city,artonusnailsroom@gmail.com,347-888-1036
