title,placeUrl,website,status,subtitle,rating,reviewCount,category,address,phoneNumber,searchQuery
We've Got Your Sock Laundromat,https://www.google.com/maps/place/We%27ve+Got+Your+Sock+Laundromat/data=!4m7!3m6!1s0x89dd408247b0520d:0xdfd73f26b82f1650!8m2!3d41.6692915!4d-73.8402691!16s%2Fg%2F1pv2btcl8!19sChIJDVKwR4JA3YkRUBYvuCY_198,http://www.wevegotyoursocklaundromat.com/,,,5.0,453,Laundromat,"702 Freedom Plains Rd, Poughkeepsie, NY 12603, United States",+1 845-204-9197,small laundry in upstate new york
Scrubbles Laundromat,https://www.google.com/maps/place/Scrubbles+Laundromat/data=!4m7!3m6!1s0x89de0ede070fbad9:0x81b701f2087a7304!8m2!3d42.7138899!4d-73.7065361!16s%2Fg%2F11b807yykg!19sChIJ2boPB94O3okRBHN6CPIBt4E,,No website found,,4.8,142,Laundromat,"632 3rd Ave, Watervliet, NY 12189, United States",+1 518-339-3929,small laundry in upstate new york
Laundry Room Of Albany Inc,https://www.google.com/maps/place/Laundry+Room+Of+Albany+Inc/data=!4m7!3m6!1s0x89de0ba62cd86ff3:0x8a8567d611cd0909!8m2!3d42.6795588!4d-73.7913821!16s%2Fg%2F11bxc67c92!19sChIJ82_YLKYL3okRCQnNEdZnhYo,http://www.thelaundryroomny.com/,,,4.0,118,Laundromat,"900 Central Ave, Albany, NY 12206, United States",+1 518-459-2907,small laundry in upstate new york
Albany Laundry Center,https://www.google.com/maps/place/Albany+Laundry+Center/data=!4m7!3m6!1s0x89de0a4ae1d43ddb:0x4dac092f542cb2b7!8m2!3d42.6653883!4d-73.7741245!16s%2Fg%2F1tlmp9y4!19sChIJ2z3U4UoK3okRt7IsVC8JrE0,https://www.albanylaundry.com/,,,4.4,168,Laundromat,"121 Quail St, Albany, NY 12206, United States",+1 518-434-0821,small laundry in upstate new york
Super Suds Laundromat,https://www.google.com/maps/place/Super+Suds+Laundromat/data=!4m7!3m6!1s0x89de6e7f3f9563ef:0xc4f05c2cfdda9ed8!8m2!3d42.839275!4d-73.9368547!16s%2Fg%2F1tcw4mfb!19sChIJ72OVP39u3okR2J7a_Sxc8MQ,http://www.supersudslaundrymat.com/,,,4.7,246,Laundromat,"88 Freemans Bridge Rd, Schenectady, NY 12302, United States",+1 518-374-7837,small laundry in upstate new york
The Wash House Laundromat,https://www.google.com/maps/place/The+Wash+House+Laundromat/data=!4m7!3m6!1s0x89dd2fab09d58cad:0x79773c46a521d7f3!8m2!3d41.5229055!4d-74.0643784!16s%2Fg%2F11sgn9kjdn!19sChIJrYzVCasv3YkR89chpUY8d3k,https://laundromatnywashhouse.com/,,,4.8,91,Laundromat,"169 S Plank Rd, Newburgh, NY 12550, United States",+1 845-784-0938,small laundry in upstate new york
Wash Like Home Laundry Service,https://www.google.com/maps/place/Wash+Like+Home+Laundry+Service/data=!4m7!3m6!1s0x89c29776dcf773b7:0xcf8c9fe2b92e64b!8m2!3d41.0355789!4d-73.7690678!16s%2Fg%2F11jg17qgd_!19sChIJt3P33HaXwokRS-aSK_7J-Aw,http://washlikehome.com/,,,4.8,48,Laundry service,"27 Barker Ave, White Plains, NY 10601, United States",+1 914-437-3171,small laundry in upstate new york
Clotheslyne,https://www.google.com/maps/place/Clotheslyne/data=!4m7!3m6!1s0x89c32f0d6dbb676f:0x3be3178428808ffb!8m2!3d41.3918093!4d-74.3597458!16s%2Fg%2F11p4qv_fl4!19sChIJb2e7bQ0vw4kR-4-AKIQX4zs,https://clotheslyne.com/,,,4.2,26,Laundry service,"50 Maple Ave, Goshen, NY 10924, United States",+1 855-624-4826,small laundry in upstate new york
Sit & Spin Laundromat,https://www.google.com/maps/place/Sit+%26+Spin+Laundromat/data=!4m7!3m6!1s0x89de0f87b71cacb9:0xab59ddd896f2d389!8m2!3d42.7026109!4d-73.6572311!16s%2Fg%2F11vkqp9vwz!19sChIJuawct4cP3okRidPyltjdWas,https://sitandspinlaundry.com/,,,4.4,29,Laundromat,"675 Pawling Ave, Troy, NY 12180, United States",+1 518-698-3767,small laundry in upstate new york
University Laundromat,https://www.google.com/maps/place/University+Laundromat/data=!4m7!3m6!1s0x89de0b20f8e5d89f:0x3ca1378e0282fa5!8m2!3d42.6756071!4d-73.8214371!16s%2Fg%2F1tjdsb3k!19sChIJn9jl-CAL3okRpS8o4HgTygM,http://universitylaundromat.com/,,,4.5,118,Laundromat,"1148 Western Ave, Albany, NY 12203, United States",+1 518-469-8706,small laundry in upstate new york
Village Laundry Center,https://www.google.com/maps/place/Village+Laundry+Center/data=!4m7!3m6!1s0x89dccea67958e99d:0x84c592b12ecc9ce8!8m2!3d41.575795!4d-74.485239!16s%2Fg%2F11c1ws55hz!19sChIJnelYeabO3IkR6JzMLrGSxYQ,,No website found,,3.6,58,Laundromat,"123 Sullivan St, Wurtsboro, NY 12790, United States",,small laundry in upstate new york
Washpro Laundry Pickup Service,https://www.google.com/maps/place/Washpro+Laundry+Pickup+Service/data=!4m7!3m6!1s0x89c2f3d239e390fb:0xe22662ebbcd174d3!8m2!3d40.9160933!4d-73.9012871!16s%2Fg%2F11gydq3_fr!19sChIJ-5DjOdLzwokR03TRvOtiJuI,https://washproinc.com/,,,4.9,100,Laundry service,"175 Valentine Ln, Yonkers, NY 10705, United States",+1 800-461-5004,small laundry in upstate new york
Cornelia Street Laundromat,https://www.google.com/maps/place/Cornelia+Street+Laundromat/data=!4m7!3m6!1s0x89c25993b0c6cda5:0xd331cbb2d094ab5!8m2!3d40.7312268!4d-74.0024759!16s%2Fg%2F1vvdw3sr!19sChIJpc3GsJNZwokRtUoJLbscMw0,,No website found,,4.4,41,Laundromat,"30 Cornelia St # 2, New York, NY 10014, United States",+1 212-727-3218,small laundry in upstate new york
Bubbles Laundry,https://www.google.com/maps/place/Bubbles+Laundry/data=!4m7!3m6!1s0x89c28d79cd77d1b7:0x34e1e58820aaf5ee!8m2!3d40.9104567!4d-73.8286719!16s%2Fg%2F11rzg1tkhj!19sChIJt9F3zXmNwokR7vWqIIjl4TQ,http://www.mybubbleslaundry.com/,,,5.0,10,Laundry service,"11 S Fulton Ave, Mt Vernon, NY 10550, United States",+1 914-371-7171,small laundry in upstate new york
